SMILES,logs,reduction potential,SA,overall performance↑,smarts_filter
O=C1C=CC(=O)C1OC,-0.37925124168395996,-1.2400202751159668,3.1729703149178645,3.6207859543862044,0.0
O=C1C=CC(=O)C1OCN,-0.188154935836792,-1.3081690073013306,3.572925776931924,3.6206243258025963,0.0
O=C1C=CC(=O)C1OCC,-0.6697525978088379,-1.3139479160308838,3.1167462897524363,3.615770944831519,0.0
O=C1C=CC(=O)C1OC(CO)O,0.22537446022033691,-1.3390592336654663,3.9709282861733506,3.609820923938512,0.0
O=C1C=CC(=O)C1OCC(O)CCO,-0.05812954902648926,-1.3491263389587402,3.652744385356436,3.6092620709782115,0.0
O=C1C=CC(=O)C1OC(CO)(CO)O,0.14607524871826172,-1.3554984331130981,3.8348868226983743,3.6089194693567492,0.0
O=C1C=CC(=O)C1OCC(O)CO,-0.11390566825866699,-1.356746792793274,3.6100184253237897,3.604908873524445,0.0
O=C1C=CC(=O)C1OCOC,-0.5780460834503174,-1.2735793590545654,3.2710234132203055,3.6045247939547638,0.0
O=C1C=CC(=O)C1OCCC(=O)O,-0.7157731056213379,-1.3751527070999146,2.9473316181406943,3.6036284447838307,0.0
O=C1C=CC(=O)C1OC(C)O,0.022031307220458984,-1.3322350978851318,3.859845582282901,3.6033245333397033,0.0
O=C1C=CC(=O)C2=C1C=C(CN(C)C)C=C2,-1.6003817319869995,-1.3308759927749634,2.2580977760476326,3.6018016520865515,0.0
O=C1C=CC(=O)C1OCCC(O)C,-0.17432546615600586,-1.3638108968734741,3.574904579169943,3.5995526367180153,0.0
O=C1C=CC(=O)CC1OC,-0.30552053451538086,-1.3524928092956543,3.506362181184615,3.5978146047117385,0.0
O=C1C=CC(=O)C1OC(C)C,-0.6611652374267578,-1.353737473487854,3.1587398588436484,3.596514500977818,0.0
O=C1C=CC(=O)C1OCCOCN,-0.3867647647857666,-1.3598504066467285,3.4203628269319033,3.595347078169542,0.0
O=C1C=CC(=O)C(O)C1OCC,-0.2498183250427246,-1.2976384162902832,3.8170334910196786,3.592370184909873,0.0
O=C1C=CC(=C1)C2=CC=CN=C2,-1.4729945659637451,-1.35453462600708,2.425818924045201,3.5883048005962737,0.0
O=C1C=CC(=C1)C2=CN=CC=C2,-1.4729963541030884,-1.3545347452163696,2.425818924045201,3.5883045740986232,0.0
O=C1C=CC(=O)C1OC(CO)COCO,-0.058057546615600586,-1.3317641019821167,3.959045570586315,3.585584047486962,0.0
O=C1C=CC(=O)C1OCC(=O)N,-0.8280177116394043,-1.3302397727966309,3.1967266575616833,3.585429653961239,0.0
O=C1C=CC(=O)C1C2=CC=CC=C2,-1.8766534328460693,-1.2969202995300293,2.262980706349783,3.5848047058924264,0.0
O=C1C=CC(=O)C1OC(C)(F)O,-0.1037437915802002,-1.3066571950912476,4.037728999572853,3.5831898428481956,0.0
O=C1C=CC(=O)C1OC(CO)OC,-0.16296100616455078,-1.3216683864593506,3.9190883154336795,3.5831277132564368,0.0
O=C1C=CC(=O)C1OC2CC(O)C2,-0.8450360298156738,-1.3328958749771118,3.260923266492342,3.5762457203783535,0.0
O=C1C=CC(=O)C1OC(C)(F)C,-0.7203466892242432,-1.2978945970535278,3.512400122201883,3.5758831576787986,0.0
O=C1C=CC(=O)C1OC(CO)F,-0.011399269104003906,-1.2749390602111816,4.135446555404119,3.5752910416336605,0.0
O=C1C=CC(=O)C1OC(F)CO,-0.011399269104003906,-1.2749388217926025,4.135446555404119,3.575290946266229,0.0
